R4-00293|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\dto\DtoMapper.java|259-264|B|P1|toInstant 使用 ZoneId.systemDefault() 将 LocalDateTime 转 UTC Instant（DTO 声称 UTC 无歧义）|JVM 时区与 DB（Asia/Shanghai）不一致时全部时间戳偏移 8 小时|显式指定 Asia/Shanghai 时区转换|open|batch-2|
R4-01302|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\user\RealOnlineStatusService.java|154|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime threshold = LocalDateTim)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01303|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchPolicy.java|96|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String dateKey = LocalDate.now().forma)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01304|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchPolicy.java|129|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String dateKey = LocalDate.now().forma)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01305|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchPolicy.java|157|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String dateKey = LocalDate.now().forma)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01306|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchPolicy.java|193|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String dateKey = LocalDate.now().forma)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01307|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchPolicy.java|216|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(String dateKey = LocalDate.now().forma)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01308|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchRecorder.java|123|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(like.setUpdatedAt(LocalDateTime.now()))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01309|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchRecorder.java|182|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01310|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchRecorder.java|214|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(record.setCreatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01311|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchRecorder.java|260|B|P2|LocalDate.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDate today = LocalDate.now();)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01312|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchRecorder.java|267|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(visitor.setCreatedAt(LocalDateTime.now)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01313|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchRecorder.java|294|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(signal.setUpdatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01314|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchRecorder.java|305|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(signal.setUpdatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01315|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\match\MatchRecorder.java|353|B|P2|Instant.now() 未显式指定 ZoneId（JVM 默认时区）(userId, targetUserId, type, Instant.no)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01316|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\MockPostTagService.java|104|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(1))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01317|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\MockPostTagService.java|110|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(3))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01318|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\MockPostTagService.java|116|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusHours(5))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01319|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\MockPostTagService.java|122|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(1))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01320|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\MockPostTagService.java|128|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(1).minus)|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01321|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\MockPostTagService.java|134|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime.now().minusDays(2))|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01322|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\PostReportController.java|101|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(report.setCreatedAt(LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01323|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\VillageInteractionService.java|150|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01324|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\VillageInteractionService.java|313|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01325|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\VillageInteractionService.java|384|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01326|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\VillageInteractionService.java|439|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01327|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\village\VillagePostService.java|106|B|P2|LocalDateTime.now() 未显式指定 ZoneId（JVM 默认时区）(LocalDateTime now = LocalDateTime.now()|JVM 时区与 DB Asia/Shanghai 不一致时，时间戳/窗口判断错位|统一时钟源（Clock/ZoneId），或至少注释声明时区契约|open|batch-2|
R4-01328|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\OnlineUserService.java|84|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (long nowMs = System.currentTimeMillis()|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01329|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\OnlineUserService.java|163|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (expiresAtEpochMs() < System.currentTim)|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01330|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\OnlineUserService.java|188|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (expiresAtEpochMs() < System.currentTim)|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01331|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\OnlineUserService.java|203|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (long now = System.currentTimeMillis())|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01332|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\OnlineUserService.java|283|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (expiresAtEpochMs - System.currentTimeM)|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01333|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RedisTokenBlacklistService.java|71|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (long now = System.currentTimeMillis())|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01334|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RedisTokenBlacklistService.java|119|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (currentTimeMillis() + ttlSeconds * 100)|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01335|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\RedisTokenBlacklistService.java|185|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (expireAt < System.currentTimeMillis())|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01336|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\ratelimit\RateLimitBucketRegistry.java|90|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (entry.lastUsedAt = System.currentTimeM)|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01337|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\ratelimit\RateLimitBucketRegistry.java|134|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (long now = System.currentTimeMillis())|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01338|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\ratelimit\RateLimitBucketRegistry.java|172|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (new BucketEntry(bucket, System.current)|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01339|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\WeChatPushService.java|85|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (long now = System.currentTimeMillis())|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01340|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\growth\WeChatPushService.java|113|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (long nowAfterFetch = System.currentTim)|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01341|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AppleIdentityTokenVerifier.java|179|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (long now = System.currentTimeMillis())|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01342|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AppleIdentityTokenVerifier.java|185|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (now = System.currentTimeMillis())|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
R4-01343|d:\6\恋爱小程序\apps\api\src\main\java\com\campuslove\api\auth\AppleIdentityTokenVerifier.java|192|B|P2|System.currentTimeMillis() 作日期/过期语义，未统一时间源 (keysFetchedAtMillis = System.currentTi)|epoch 语义无时区问题，但与 LocalDateTime 混用使换算口径不统一|统一时间源（Clock/Instant 优先），避免与 LocalDateTime 混算|open|batch-2|
